# GENERATED by build/gen-espeak-map.py -- do not edit by hand.
# IPA -> espeak-ng phoneme mnemonics, for build/pls-audio.ps1.
# Derived by zipping espeak -x against espeak --ipa over 6000 words.
# kind	from	to
norm	r	ɹ
norm	ɒ	ɑː
norm	ɝ	ɚ
norm	ɜ	ɚ
norm	.	
long	ɑ	ɑː
long	ɔ	ɔː
long	u	uː
long	i	iː
seg	ˈaɪə	'aI@
seg	ˈaɪɚ	'aI3
seg	ˈɑːɹ	'A@
seg	ˈɔːɹ	'o@
seg	ˌaɪɚ	,aI3
seg	ˌɑːɹ	,A@
seg	ˌɔːɹ	,o@
seg	aɪə	aI@
seg	aɪɚ	aI3
seg	ɑːɹ	A@
seg	ɔːɹ	o@
seg	ˈaɪ	'aI
seg	ˈaʊ	'aU
seg	ˈeɪ	'eI
seg	ˈiə	'i@
seg	ˈiː	'i:
seg	ˈoʊ	'oU
seg	ˈuː	'u:
seg	ˈɑː	'0
seg	ˈɔɪ	'OI
seg	ˈɔː	'O:
seg	ˈɛɹ	'e@
seg	ˈɜː	'3:
seg	ˈɪɹ	'i@3
seg	ˈʊɹ	'U@
seg	ˌaɪ	,aI
seg	ˌaʊ	,aU
seg	ˌeɪ	,eI
seg	ˌiə	,i@
seg	ˌiː	,i:
seg	ˌn̩	,n-
seg	ˌoʊ	,oU
seg	ˌuː	,u:
seg	ˌɑː	,0
seg	ˌɔɪ	,OI
seg	ˌɔː	,O:
seg	ˌɛɹ	,e@
seg	ˌɜː	,3:
seg	ˌɪɹ	,i@3
seg	ˌʊɹ	,U@
seg	aɪ	aI
seg	aʊ	aU
seg	dʒ	dZ
seg	eɪ	eI
seg	iə	i@
seg	iː	i:
seg	n̩	n-
seg	oʊ	oU
seg	tʃ	tS
seg	uː	u:
seg	ɑː	0
seg	ɔɪ	OI
seg	ɔː	O:
seg	ɔ̃	O~
seg	əl	@L
seg	ɛɹ	e@
seg	ɜː	3:
seg	ɪɹ	i@3
seg	ʊɹ	U@
seg	ˈe	'e
seg	ˈæ	'a
seg	ˈɔ	'O2
seg	ˈə	'@
seg	ˈɛ	'E
seg	ˈɪ	'I
seg	ˈʊ	'U
seg	ˈʌ	'V
seg	ˌæ	,a
seg	ˌɔ	,O2
seg	ˌɛ	,E
seg	ˌɪ	,I
seg	ˌʊ	,U
seg	ˌʌ	,V
seg	b	b
seg	d	d
seg	f	f
seg	h	h
seg	i	i
seg	j	j
seg	k	k
seg	l	l
seg	m	m
seg	n	n
seg	p	p
seg	r	r
seg	s	s
seg	t	t
seg	v	v
seg	w	w
seg	z	z
seg	æ	a
seg	ð	D
seg	ŋ	N
seg	ɐ	a#
seg	ɔ	O2
seg	ə	@
seg	ɚ	3
seg	ɛ	E
seg	ɡ	g
seg	ɪ	I
seg	ɹ	r
seg	ɾ	t#
seg	ʃ	S
seg	ʊ	U
seg	ʌ	V
seg	ʒ	Z
seg	ʔ	?
seg	θ	T
seg	ᵻ	I#
