Word,PoS,Encoding,euspelling
abstracts,NN2|VVZ,012,abstracts|abstractz
accents,NN2|VVZ,012,accents|accentz
addicts,NN2|VVZ,012,addicts|addictz
addresses,NN2|VVZ,012,addresses|addressez
adducts,NN2|VVZ,012,adducts|adductz
advocates,NN2|VVZ,112,advocats|advocatez
affects,NN2|VVZ,012,affects|affectz
affiliates,NN2|VVZ,112,affiliats|affiliatez
affixes,NN2|VVZ,012,affixes|affixez
aggregates,NN2|VVZ,112,aggregats|aggregatez
allies,NN2|VVZ,012,allies|alliez
alternates,NN2|VVZ,012,alternats|alternatez
animates,NN2|VVZ,112,animats|animatez
annexes,NN2|VVZ,012,annexes|annexez
assays,NN2|VVZ,012,assays|assayz
associates,NN2|VVZ,112,associats|associatez
attributes,NN2|VVZ,012,attributes|attributez
augments,NN2|VVZ,012,augments|augmentz
bypasses,NN2|VVZ,012,bypasses|bypassez
capsules,NN2|VVZ,012,capsules|capsulez
combats,NN2|VVZ,012,combats|combatz
combines,NN2|VVZ,012,combines|combinez
communes,NN2|VVZ,012,communes|communez
compacts,NN2|VVZ,012,compacts|compactz
comports,NN2|VVZ,012,comports|comportz
composts,NN2|VVZ,112,compostes|compostez
compounds,NN2|VVZ,012,compounds|compoundz
compresses,NN2|VVZ,012,compresses|compressez
conducts,NN2|VVZ,012,conducts|conductz
confects,NN2|VVZ,012,confects|confectz
confines,NN2|VVZ,012,confines|confinez
conflicts,NN2|VVZ,012,conflicts|conflictz
congresses,NN2|VVZ,012,congresses|congressez
conscripts,NN2|VVZ,012,conscripts|conscriptz
consents,NN2|VVZ,012,consents|consentz
conserves,NN2|VVZ,112,conservs|conservz
consoles,NN2|VVZ,012,consoles|consolez
consorts,NN2|VVZ,012,consorts|consortz
constructs,NN2|VVZ,012,constructs|constructz
consults,NN2|VVZ,012,consults|consultz
contents,NN2|VVZ,012,contents|contentz
contests,NN2|VVZ,012,contests|contestz
contours,NN2|VVZ,112,contoors|contoorz
contracts,NN2|VVZ,012,contracts|contractz
contrasts,NN2|VVZ,012,contrasts|contrastz
converses,NN2|VVZ,012,converses|conversez
converts,NN2|VVZ,012,converts|convertz
convicts,NN2|VVZ,012,convicts|convictz
coordinates,NN2|VVZ,112,coordinats|coordinatez
correlates,NN2|VVZ,112,correlats|correlatez
costumes,NN2|VVZ,012,costumes|costumez
countercharges,NN2|VVZ,112,counterqharges|counterqhargez
counterclaims,NN2|VVZ,012,counterclaims|counterclaimz
countermands,NN2|VVZ,012,countermands|countermandz
decreases,NN2|VVZ,012,decreases|decreasez
defects,NN2|VVZ,012,defects|defectz
defiles,NN2|VVZ,012,defiles|defilez
delegates,NN2|VVZ,112,delegats|delegatez
demurs,NN2|VVZ,012,demurs|demurz
deserts,NN2|VVZ,012,deserts|desertz
details,NN2|VVZ,012,details|detailz
detours,NN2|VVZ,112,detoors|detoorz
dictates,NN2|VVZ,012,dictates|dictatez
digests,NN2|VVZ,012,digests|digestz
discards,NN2|VVZ,012,discards|discardz
discharges,NN2|VVZ,112,disqharges|disqhargez
disconnects,NN2|VVZ,012,disconnects|disconnectz
discontents,NN2|VVZ,012,discontents|discontentz
discords,NN2|VVZ,012,discords|discordz
discounts,NN2|VVZ,012,discounts|discountz
discourses,NN2|VVZ,112,discorses|discorsez
dislikes,NN2|VVZ,012,dislikes|dislikez
dispatches,NN2|VVZ,012,dispatches|dispatchez
displays,NN2|VVZ,012,displays|displayz
disputes,NN2|VVZ,012,disputes|disputez
disregards,NN2|VVZ,012,disregards|disregardz
dissents,NN2|VVZ,012,dissents|dissentz
