# GENERATED by build/derive-ipa.py --enc 101 --syllables 1 (CMUdict, General American).
# grapheme = euspelling; ipa = headword pronunciation; gloss = headword.
grapheme,ipa,gloss
aihle,aɪl,aisle
aihles,aɪlz,aisles
arqh,ɑɹtʃ,arch
aw,ɑ,awe
bahk,bɔk,balk
bahm,bɑm,balm
bahms,bɑmz,balms
beaqh,bitʃ,beach
beeqh,bitʃ,beech
belqh,bɛltʃ,belch
benqh,bɛntʃ,bench
biht,baɪt,bight
bild,bɪld,build
bilt,bɪlt,built
birqh,bɝtʃ,birch
bisq,bɪsk,bisque
blanqh,blæntʃ,blanch
bleaqh,blitʃ,bleach
bliht,blaɪt,blight
bludd,blʌd,blood
blynd,blaɪnd,blind
boeth,boʊθ,both
boht,bɑt,bought
bool,bul,boule
bouh,baʊ,bough
bouhs,baʊz,boughs
braek,bɹeɪk,break
branqh,bɹæntʃ,branch
braqh,bɹætʃ,brach
breaqh,bɹitʃ,breach
bredd,bɹɛd,bread
bredth,bɹɛdθ,breadth
breeqh,bɹitʃ,breech
brest,bɹɛst,breast
breth,bɹɛθ,breath
breths,bɹɛθs,breaths
briht,bɹaɪt,bright
broaqh,bɹoʊtʃ,broach
brodd,bɹɔd,broad
broht,bɹɔt,brought
brooqh,bɹutʃ,brooch
bruh,bɹʌ,brugh
brunqh,bɹʌntʃ,brunch
bruse,bɹuz,bruise
brused,bɹuzd,bruised
bruw,bɹaʊ,brow
bruwn,bɹaʊn,brown
bruws,bɹaʊz,brows
bruwse,bɹaʊz,browse
bruwsed,bɹaʊzd,browsed
bunqh,bʌntʃ,bunch
buwse,boʊs,bowse
buwsed,baʊzd,bowsed
bynd,baɪnd,bind
caff,kæf,calf
cahk,kɔk,calk
cahm,kɑm,calm
cand,kænd,canned
carv,kɑɹv,carve
cauhk,kɑk,caulk
cauht,kɑt,caught
cinq,sɪŋk,cinque
cinqh,sɪntʃ,cinch
cirq,sɝk,cirque
cleav,kliv,cleave
clenqh,klɛntʃ,clench
clens,klɛnz,cleanse
clinqh,klɪntʃ,clinch
cliqe,klik,clique
cluwn,klaʊn,clown
clym,klaɪm,climb
coaqh,koʊtʃ,coach
coff,kɑf,cough
cohm,koʊm,comb
cohmd,koʊmd,combed
com,kʌm,come
coodd,kʊd,could
coom,koʊm,combe
cooms,koʊmz,combes
corse,kɔɹs,course
cort,kɔɹt,court
couqh,kaʊtʃ,couch
crouqh,kɹaʊtʃ,crouch
crunqh,kɹʌntʃ,crunch
cruse,kɹuz,cruise
crused,kɹuzd,cruised
cruwd,kɹaʊd,crowd
cruwn,kɹaʊn,crown
curv,kɝv,curve
cuw,kaʊ,cow
cuwl,kaʊl,cowl
dedd,dɛd,dead
deff,dɛf,deaf
delt,dɛlt,dealt
delv,dɛlv,delve
denghe,dɛnɡ,dengue
derth,dɝθ,dearth
deth,dɛθ,death
deths,dɛθs,deaths
dett,dɛt,debt
detts,dɛts,debts
dhuws,daʊz,dhows
doh,doʊ,dough
