# Gap-fill for one-syllable 101 euspellings missing from CMUdict.
# General American; inflections derived from CMUdict bases, rare stems
# are HAND-TRANSCRIBED best guesses pending manual review.
grapheme,ipa,gloss
adz,ædz,adze
auht,ɔt,aught
auhts,ɔts,aughts
barq,bɑɹk,barque
barqs,bɑɹks,barques
beut,bjut,beaut
beuts,bjuts,beauts
bisqs,bɪsks,bisques
blagh,blɑɡ,blague
blaghd,blɑɡd,blagued
blenqh,blɛntʃ,blench
bongd,bɑŋd,bonged
bouhd,baʊd,boughed
bredths,bɹɛdθs,breadths
brihts,bɹaɪts,brights
brodds,bɹɔdz,broads
bruhs,bɹʌz,brughs
bruht,brut,bruit
caffs,kæfs,calfs
calq,kælk,calque
cang,kæŋ,cangue
cangs,kæŋz,cangues
casq,kæsk,casque
casqd,kæskt,casqued
casqs,kæsks,casques
cavv,kæv,calve
ceel,sil,ceil
cirqs,sɝks,cirques
claq,klæk,claque
claqs,klæks,claques
clauht,klɔt,claught
clauhts,klɔts,claughts
cloor,klaʊɹ,clour
coigns,kɔɪnz,coignes
cooddst,kʊdst,couldst
cooqh,kutʃ,cooch
corv,kɔɹv,corve
corvs,kɔɹvz,corves
cranqh,kɹæntʃ,cranch
craunqh,kɹɔntʃ,craunch
cuing,ˈkjuɪŋ,cueing
culqh,kʌltʃ,culch
curqh,kɝtʃ,curch
cuth,kuθ,couth
cuths,kuθs,couths
deav,div,deave
derths,dɝθs,dearths
dhuw,daʊ,dhow
diht,daɪt,dight
dohs,doʊz,doughs
douht,daʊt,dought
druw,dɹaʊ,drow
druwnd,dɹaʊnd,drownd
dunqh,dʌntʃ,dunch
eeqh,itʃ,eche
eeqhd,itʃt,eched
eon,ˈiɑn,aeon
eons,ˈiɑnz,aeons
esqs,ɛsks,esques
fauh,fɔ,faugh
feeff,fɛf,feoff
feehn,feɪn,foehn
feehns,feɪnz,foehns
flanqh,flæntʃ,flanch
flaunqh,flɔntʃ,flaunch
fleeqh,flitʃ,fleech
flenqh,flɛntʃ,flench
forrb,fɔɹb,fourb
forrbs,fɔɹbz,fourbes
fruwst,fɹaʊst,frowst
gangh,ɡæŋ,gangue
ganghs,ɡæŋz,gangues
ganqh,ɡæntʃ,ganch
ghilts,ɡɪlts,guilts
ghimp,ɡɪmp,guimp
ghimps,ɡɪmps,guimpes
glaiv,ɡleɪv,glave
glaivs,ɡleɪvz,glaves
gluing,ˈɡluɪŋ,glueing
glunqh,ɡlʌntʃ,glunch
gnar,nɑɹ,gnarr
gnuw,naʊ,gnow
gnuws,naʊz,gnows
goavs,ɡoʊvz,goaves
grecq,ɡɹɛk,grecque
grecqs,ɡɹɛks,grecques
greev,ɡɹiv,greeve
greevs,ɡɹivz,greeves
groovd,ɡɹuvd,grooved
guwk,ɡaʊk,gowk
guwks,ɡaʊks,gowks
hanqh,hæntʃ,hanch
hauffs,hɔz,haughs
haunqh,hɔntʃ,haunch
helths,hɛlθs,healths
helv,hɛlv,helve
hihths,haɪθs,heighths
hoh,hɑk,hogh
hohs,hɑks,hoghs
hoov,huv,hoove
hulqh,hʌltʃ,hulch
huws,haʊz,hows
huwv,haʊv,howve
huwvs,haʊvz,howves
iyers,ˈaɪɚz,eyers
iying,ˈaɪɪŋ,eying
jamms,dʒæmz,jambs
juw,dʒaʊ,jow
kaiiq,kɑˈik,kaique
kaiiqs,kɑˈiks,kaiques
keev,kiv,keeve
kenqh,kɛntʃ,kench
kerqh,kɝtʃ,kerch
kerv,kɝv,kerve
keyes,kiz,quays
khums,kumz,khoums
kiev,kiv,kieve
kievs,kivz,kieves
lang,lɑŋ,langue
lanqh,læntʃ,lanch
leavd,livd,leaved
loaqh,loʊtʃ,loach
mahms,mɑmz,malms
masq,mæsk,masque
masqs,mæsks,masques
merqh,mɝtʃ,merch
miao,miˈaʊ,miaou
miaoing,miˈaʊɪŋ,miaouing
mihts,maɪts,mights
mooqh,mutʃ,mooch
mowvs,mɔvz,mauves
naiivs,nˌaɪˈivz,naives
napp,næp,nappe
napps,næps,nappes
nauhts,nɔts,naughts
neih,neɪ,neigh
nervd,nɝvd,nerved
nihts,naɪts,nites
noht,nɔt,noght
nohts,nɔts,noughts
nonns,nʌnz,nones
nouqh,naʊtʃ,nouch
nuwd,naʊd,nowd
nuwds,naʊdz,nowds
nuws,naʊz,nows
nuwt,naʊt,nowt
nuwts,naʊts,nowts
oavs,oʊvz,oaves
ohts,ɔts,oughts
ood,ud,oud
oods,udz,ouds
pasqs,pæsks,pasques
paunqh,pɔntʃ,paunch
piaff,piˈæf,piaffe
pladds,plædz,plaids
planqh,plæntʃ,planch
pleaqh,plitʃ,pleach
plenqh,plɛntʃ,plench
polt,poʊlt,poult
poov,puv,poove
poovs,puvz,pooves
qeud,kjud,queued
qeuer,ˈkjuɚ,queuer
qeuers,ˈkjuɚz,queuers
qeuing,ˈkjuɪŋ,queueing
qhads,tʃædz,chads
qhank,tʃæŋk,chank
qhanks,tʃæŋks,chanks
qhapt,tʃæpt,chapt
qhards,tʃɑɹdz,chards
qhark,tʃɑɹk,chark
qharr,tʃɑɹ,charr
qharrs,tʃɑɹz,charrs
qhaunt,tʃɔnt,chaunt
qhay,tʃeɪ,chay
qhays,tʃeɪz,chays
qhecks,tʃɛks,cheques
qheep,tʃip,cheep
qhiao,tʃaʊ,chiao
qhiaos,tʃaʊz,chiaos
qhiaus,tʃaʊz,chiaus
qhid,tʃɪd,chid
qhiel,tʃil,chiel
qhield,tʃild,chield
qhields,tʃildz,chields
qhiels,tʃilz,chiels
qhinqh,tʃɪntʃ,chinch
qhints,tʃɪnts,chints
qhintz,tʃɪnts,chintz
qhirk,tʃɝk,chirk
qhirm,tʃɝm,chirm
