grapheme,ipa,gloss
# Curated overrides: always win over the generated category files
# (gen-pls.js applies this file last).
#
# --- seez family: the seize reading, /siːz/ in the seez syllable ---------------
# Long iː, /s/ onset, /z/ coda (/siːʒ/ before -ure). Covers prefixed forms
# (reseeze, disseeze, redisseeze, foreseez, overseez, antiseezure, ...).
antiseezure,ˌæntiˈsiːʒəɹ,antiseizure
disseeze,dɪsˈsiːz,disseise
disseezed,dɪsˈsiːzd,disseised
disseezez,dɪsˈsiːzɪz,disseises
disseezin,dɪsˈsiːzɪn,disseisin
disseezing,dɪsˈsiːzɪŋ,disseising
disseezins,dɪsˈsiːzɪnz,disseisins
disseezor,dɪsˈsiːzəɹ,disseisor
disseezors,dɪsˈsiːzəɹz,disseisors
foreseez,fɔɹˈsiːz,foresees
foreseeze,fɔɹˈsiːz,foreseize
foreseezed,fɔɹˈsiːzd,foreseized
foreseezez,fɔɹˈsiːzɪz,foreseizes
foreseezing,fɔɹˈsiːzɪŋ,foreseizing
fricasseez,ˌfɹɪkəˈsiːz,fricassees
outseez,ˌaʊtˈsiːz,outsees
overseez,ˌoʊvəɹˈsiːz,oversees
redisseeze,ˌɹiːdɪsˈsiːz,redisseize
redisseezed,ˌɹiːdɪsˈsiːzd,redisseized
redisseezez,ˌɹiːdɪsˈsiːzɪz,redisseizes
redisseezin,ˌɹiːdɪsˈsiːzɪn,redisseizin
redisseezing,ˌɹiːdɪsˈsiːzɪŋ,redisseizing
redisseezor,ˌɹiːdɪsˈsiːzəɹ,redisseizor
redisseezors,ˌɹiːdɪsˈsiːzəɹz,redisseizors
reseez,ɹiˈsiːz,resees
reseeze,ɹiˈsiːz,reseize
reseezed,ɹiˈsiːzd,reseized
reseezer,ɹiˈsiːzəɹ,reseizer
reseezers,ɹiˈsiːzəɹz,reseizers
reseezez,ɹiˈsiːzɪz,reseizes
reseezing,ɹiˈsiːzɪŋ,reseizing
reseezure,ɹiˈsiːʒəɹ,reseizure
seez,ˈsiːz,sees
seezable,ˈsiːzəbəl,seizable
seeze,ˈsiːz,seise
seezed,ˈsiːzd,seised
seezer,ˈsiːzəɹ,seiser
seezers,ˈsiːzəɹz,seisers
seezez,ˈsiːzɪz,seises
seezin,ˈsiːzɪn,seisin
seezing,ˈsiːzɪŋ,seising
seezings,ˈsiːzɪŋz,seisings
seezins,ˈsiːzɪnz,seisins
seezor,ˈsiːzəɹ,seisor
seezors,ˈsiːzəɹz,seisors
seezure,ˈsiːʒəɹ,seisure
seezures,ˈsiːʒəɹz,seisures
sihtseez,ˈsaɪtˌsiːz,sightsees
subseezure,sʌbˈsiːʒəɹ,subseizure
subseezures,sʌbˈsiːʒəɹz,subseizures
unseezed,ʌnˈsiːzd,unseized
#
# --- underdetermined spellings ------------------------------------------------
# Added 10 Aug 2026. Each of these is a word whose euspellings are NOT homophones
# but whose row in changed_words_IPA.csv holds fewer readings than there are
# spellings, so gen-pls.js can no longer guess and refuses them. Keyed by
# grapheme, the sense is decided by the spelling and nothing has to be inferred.
#
# --- slough: shed /slʌf/, bog /slaʊ/, inlet /sluː/ ----------------------------
# The paper's three senses. Only two readings exist in the source and none of
# them is the inlet, so all three are stated here.
sluff,slʌf,slough
slouh,slaʊ,slough
sluh,sluː,slough
sluffd,slʌft,sloughed
slouhd,slaʊd,sloughed
sluhd,sluːd,sloughed
sluffs,slʌfs,sloughs
sluffz,slʌfs,sloughs
slouhs,slaʊz,sloughs
sluhs,sluːz,sloughs
sluffy,ˈslʌfi,sloughy
slouhy,ˈslaʊi,sloughy
sluhy,ˈsluːi,sloughy
sluffier,ˈslʌfiəɹ,sloughier
slouhier,ˈslaʊiəɹ,sloughier
sluhier,ˈsluːiəɹ,sloughier
sluffiest,ˈslʌfiəst,sloughiest
slouhiest,ˈslaʊiəst,sloughiest
sluhiest,ˈsluːiəst,sloughiest
sluffiness,ˈslʌfinəs,sloughiness
slouhiness,ˈslaʊinəs,sloughiness
sluhiness,ˈsluːinəs,sloughiness
#
# --- the uw graphemes: uw is /aʊ/, ow stays /oʊ/ ------------------------------
# bow the ribbon vs bow the bend; row the line vs row the argument; mow.
bowz,boʊz,bows
buws,baʊz,bows
buwz,baʊz,bows
bowd,boʊd,bowed
buwd,baʊd,bowed
unbowd,ˌʌnˈboʊd,unbowed
unbuwd,ˌʌnˈbaʊd,unbowed
rowz,roʊz,rows
ruws,raʊz,rows
ruwz,raʊz,rows
rowd,roʊd,rowed
ruwd,raʊd,rowed
mowz,moʊz,mows
muws,maʊz,mows
#
# --- bear: baer is the animal, behr is carry/tolerate -------------------------
# A rare case where the split is purely semantic and both are said the same way.
baer,bɛɹ,bear
behr,bɛɹ,bear
baers,bɛɹz,bears
behrz,bɛɹz,bears
#
# --- the heteronyms whose whole purpose is to sound different -----------------
# tears has BOTH readings in the source, but they sit inside a free-text
# parenthetical -- "-,tɛərz,(or,tɪərz,for,teardrops)" -- so nothing can match
# them to spellings and all three took the ripping reading. taers and taerz are
# genuinely homophones (the rip, noun and verb); only tearz is the teardrop.
taers,tɛɹz,tears
taerz,tɛɹz,tears
tearz,tɪɹz,tears
# ledds is the metal. Without this row the synthesiser said "leedz".
ledds,lɛdz,leads
leadz,liːdz,leads
windz,wɪndz,winds
wyndz,waɪndz,winds
lerned,ˈlɜːɹnəd,learned
lernd,lɜːɹnd,learned
sihtread,ˈsaɪtˌɹiːd,sightread
sihtredd,ˈsaɪtˌɹɛd,sightread
#
# --- -ate pairs: the reduced noun/adjective vs the /eɪt/ verb -----------------
ghesstimat,ˈɡɛstəmɪt,guesstimate
ghesstimate,ˈɡɛstəˌmeɪt,guesstimate
etiolat,ˈiːtiələt,aetiolate
etiolate,ˈiːtiəˌleɪt,aetiolate
levigat,ˈlɛvɪɡət,laevigate
levigate,ˈlɛvɪˌɡeɪt,laevigate
#
# --- single-novel-spelling splits, the mechanically decidable half ------------
# Added 10 Aug 2026. Each of these contradicts a sound the paper assigns to a
# grapheme, so it is wrong whichever sense the split runs in and needs no
# judgement about meaning. Only the diagnostic sound is changed; the rest of each
# reading is as it shipped.
#
# uw is /aʊ/ (the paper: "the form uw ... replacing the ambiguous ow")
buwman,ˈbaʊmən,bowman
buwmen,ˈbaʊmɪn,bowmen
muw,maʊ,mow
ruw,ɹaʊ,row
ruwing,ˈɹaʊɪŋ,rowing
# qh is /tʃ/, leaving ch to the k sound
qhi,tʃiː,chi
conqh,kɑːntʃ,conch
# edd is a short e -- these are all past tenses of read
