Word,PoS,Encoding,euspelling
aka,RR,900,[]
approx,RR,900,[]
apr,NP1,900,[]
asap,RR,900,[]
aug,NP1,900,[]
ca,II,900,[]
co,NNB,900,[]
dec,NP1,900,[]
dept,NN1,900,[]
dr,NNB,900,[]
ed,NN1,900,[]
eds,NN2,900,[]
eg,REX,900,[]
etc,RR,900,[]
feb,NP1,900,[]
fri,NP1,900,[]
gov,NNB,900,[]
hr,NN1,900,[]
ie,REX,900,[]
inc,NNB,900,[]
jan,NP1,900,[]
lbs,NN2,900,[]
ltd,NNB,900,[]
max,JJ,900,[]
min,JJ,900,[]
misc,JJ,900,[]
mon,NP1,900,[]
mr,NNB,900,[]
mrs,NNB,900,[]
ms,NNB,900,[]
nov,NP1,900,[]
oct,NP1,900,[]
oz,NN1,900,[]
pp,NN2,900,[]
prof,NNB,900,[]
rep,NNB,900,[]
sec,NN1,900,[]
sen,NNB,900,[]
sept,NP1,900,[]
st,NNB,900,[]
thu,NP1,900,[]
tue,NP1,900,[]
vol,NN1,900,[]
vols,NN2,900,[]
vs,CC,900,[]
