Phrase,PoS,Encoding,euspelling
a bit,RR2,000,[]
a capella,JJ2|RR2,000,[]
a fortiori,RR2,000,[]
a good deal,RR3,000,[]
a great deal,RR3,101,a graet deal
a heck of a lot,RR5,101,a heck ov a lot
a hell of a lot,RR5,101,a hell ov a lot
a la carte,JJ3|RR3,000,[]
a la mode,RR3,000,[]
a la,II2,000,[]
a little bit,RR3,000,[]
a little,RR2,000,[]
a lot,RR2,000,[]
a posteriori,JJ2|RR2,000,[]
a priori,JJ2|RR2,000,[]
a propos,II2|RR2,701,a propoh
ab initio,JJ2|RR2,000,[]
according to,II2,101,according tu
ad astra,RR2,000,[]
ad hoc,JJ2|RR2,000,[]
ad hominem,JJ2|RR2,000,[]
ad infinitum,RR2,000,[]
ad lib,JJ2|NN12|RR2,000,[]
ad libs,NN22,000,[]
ad nauseam,RR2,000,[]
ad valorem,JJ2,000,[]
adjacent to,II2,101,adjacent tu
affaire de coeur,NN13,000,[]
agent provocateur,NN12,000,[]
agents provocateurs,NN22,000,[]
agnus dei,NN12,000,[]
ahead of,II2,101,ahedd ov
aide de camp,NN13,000,[]
aide memoire,NN12,000,[]
aides de camp,NN23,000,[]
al dente,JJ2|RR2,000,[]
al fresco,JJ2|RR2,000,[]
all at once,RR3,101,all at wunce
all but,RR2,000,[]
all of a sudden,RR4,101,all ov a sudden
all right,JJ2|RR2,000,all riht
all the same,RR3,000,[]
alma mater,NN12,000,[]
alma maters,NN22,000,[]
along with,II2,000,[]
alter ego,NN12,000,[]
alter egos,NN22,000,[]
an awful lot,RR3,000,[]
ancien regime,NN12,000,[]
and so forth,RR3,000,[]
and so on,RR3,000,[]
anno domini,RR2,000,[]
annus mirabilis,NN12,000,[]
ante meridiem,RR2,000,[]
any longer,RR2,101,eny longer
anything but,RR2,101,enything but
apart from,II2,000,[]
aqua vitae,NN12,000,[]
art deco,NN12,000,[]
art nouveau,NN12,000,[]
as against,II2,000,[]
as between,II2,000,[]
as far as,CS3,000,[]
as for,II2,000,[]
as from,II2,000,[]
as if,CS2,000,[]
as it were,RR3,101,as it wer
as long as,CS3,000,[]
as of,II2,101,as ov
as opposed to,II3,101,as opposed tu
as regards,II2,000,[]
as soon as,CS3,000,[]
as though,CS2,101,as thoh
as to,II2,101,as tu
as usual,RR2,000,[]
as well as,II3,000,[]
as well,RR2,000,[]
as yet,RR2,000,[]
aside from,II2,000,[]
asti spumante,NN12,000,[]
at all,RR2,000,[]
at best,RR2,000,[]
at first,RR2,000,[]
